activation,beta_1,beta_2,commit_hash,dataset,dimensions,dirname,dropout_rate,embeddings_path,epsilon,es__best_epoch,es__best_val_f1,filters,finetune,kernel_sizes,lr,pooling,total_epochs,vocab_size,weight_decay,loss,precision,recall,f1,aupr,val_loss,val_precision,val_recall,val_f1,val_aupr
relu,0.9,0.999,811949ae40a2ed4432ce96b3ddd0f7fcd9ab95bd,0.twitter.gold,200,data/results/20171217_020649_811949,0.5,data/glove.twitter.27B.200d.txt,1e-08,18,0.693251498636,10,False,"[1, 2, 3, 4, 5]",0.001,max,43,2063,0.001,5.70785236359,0.869694709778,0.741587281227,0.8005483074,0.895830734644,1.12073469162,0.748344361782,0.64571428299,0.693251498636,0.774713491662
relu,0.9,0.999,811949ae40a2ed4432ce96b3ddd0f7fcd9ab95bd,0.twitter.gold,200,data/results/20171217_020703_811949,0.5,data/glove.twitter.27B.200d.txt,1e-08,9,0.697947177171,20,False,"[1, 2, 3, 4]",0.001,max,34,2063,0.001,6.84839820862,0.826452612877,0.686349213123,0.749913264822,0.847050793563,1.29498243332,0.716867446899,0.680000007153,0.697947177171,0.770902885299
relu,0.9,0.999,811949ae40a2ed4432ce96b3ddd0f7fcd9ab95bd,0.twitter.gold,200,data/results/20171217_020721_811949,0.5,data/glove.twitter.27B.200d.txt,1e-08,42,0.702380959669,75,False,"[1, 2]",0.001,max,67,2063,0.001,4.46375799179,0.88987082243,0.831111133099,0.859487858272,0.93626067466,1.12831294537,0.732919275761,0.674285709858,0.702380959669,0.772833796524
relu,0.9,0.999,811949ae40a2ed4432ce96b3ddd0f7fcd9ab95bd,0.twitter.gold,200,data/results/20171217_020736_811949,0.5,data/glove.twitter.27B.200d.txt,1e-08,11,0.697530851102,25,False,"[1, 2, 3, 4]",0.001,max,36,2063,0.001,6.36458683014,0.837959468365,0.709206342697,0.768225542141,0.869072065855,1.14991891384,0.758389234543,0.64571428299,0.697530851102,0.778320940117
relu,0.9,0.999,811949ae40a2ed4432ce96b3ddd0f7fcd9ab95bd,0.twitter.gold,200,data/results/20171217_020758_811949,0.5,data/glove.twitter.27B.200d.txt,1e-08,47,0.692307726076,100,False,"[1, 2]",0.001,max,72,2063,0.001,3.99374175072,0.903573811054,0.850793659687,0.876389789853,0.949097297617,1.25753378868,0.717791438103,0.668571412563,0.692307726076,0.772805309782
relu,0.9,0.999,811949ae40a2ed4432ce96b3ddd0f7fcd9ab95bd,0.twitter.gold,200,data/results/20171217_020817_811949,0.5,data/glove.twitter.27B.200d.txt,1e-08,25,0.692307726076,50,False,"[1, 2, 3]",0.001,max,50,2063,0.001,4.76915311813,0.880903482437,0.8171428442,0.847826076135,0.926365039198,1.17657327652,0.717791438103,0.668571412563,0.692307726076,0.780295323078
relu,0.9,0.999,811949ae40a2ed4432ce96b3ddd0f7fcd9ab95bd,0.twitter.gold,200,data/results/20171217_020843_811949,0.5,data/glove.twitter.27B.200d.txt,1e-08,29,0.709876555472,20,False,"[1, 2, 3, 4, 5]",0.001,max,54,2063,0.001,4.35782337189,0.900069415569,0.823492050171,0.860079547407,0.940531696758,1.02683413029,0.771812081337,0.657142877579,0.709876555472,0.772661629459
relu,0.9,0.999,811949ae40a2ed4432ce96b3ddd0f7fcd9ab95bd,0.twitter.gold,200,data/results/20171217_020902_811949,0.5,data/glove.twitter.27B.200d.txt,1e-08,13,0.697819274215,25,False,"[1, 2, 3, 4, 5]",0.001,max,38,2063,0.001,5.76389741898,0.865638792515,0.748571455479,0.802860087943,0.890889609905,1.13902628422,0.767123281956,0.639999985695,0.697819274215,0.78127352136
relu,0.9,0.999,811949ae40a2ed4432ce96b3ddd0f7fcd9ab95bd,0.twitter.gold,200,data/results/20171217_020919_811949,0.5,data/glove.twitter.27B.200d.txt,1e-08,21,0.684848492139,75,False,"[1, 2, 3]",0.001,max,46,2063,0.001,4.78036499023,0.891012012959,0.799365103245,0.842704155071,0.928066819167,1.12398886681,0.729032278061,0.64571428299,0.684848492139,0.78846704098
relu,0.9,0.999,811949ae40a2ed4432ce96b3ddd0f7fcd9ab95bd,0.twitter.gold,200,data/results/20171217_020935_811949,0.5,data/glove.twitter.27B.200d.txt,1e-08,9,0.686930070478,50,False,"[1, 2, 3, 4]",0.001,max,34,2063,0.001,6.04492282867,0.850446403027,0.7257142663,0.783144890506,0.882394766852,1.13143253326,0.733766257763,0.64571428299,0.686930070478,0.777187615545
relu,0.9,0.999,811949ae40a2ed4432ce96b3ddd0f7fcd9ab95bd,0.twitter.gold,200,data/results/20171217_020947_811949,0.5,data/glove.twitter.27B.200d.txt,1e-08,5,0.68923076229,100,False,"[1, 2, 3]",0.001,max,30,2063,0.001,7.71585464478,0.783281743526,0.642539680004,0.705964425184,0.803499547021,1.29357039928,0.746666669846,0.639999985695,0.68923076229,0.747319216115
relu,0.9,0.999,811949ae40a2ed4432ce96b3ddd0f7fcd9ab95bd,0.twitter.gold,200,data/results/20171217_021003_811949,0.5,data/glove.twitter.27B.200d.txt,1e-08,11,0.688622754837,75,False,"[1, 2, 3, 4]",0.001,max,36,2063,0.001,5.80406475067,0.86206895113,0.746031761169,0.799863885116,0.89149919277,1.20068895817,0.72327041626,0.657142877579,0.688622754837,0.784444749714
relu,0.9,0.999,811949ae40a2ed4432ce96b3ddd0f7fcd9ab95bd,1.twitter.silver,200,data/results/20171217_021104_811949,0.5,data/glove.twitter.27B.200d.txt,1e-08,18,0.652307670497,5,False,"[1, 2]",0.001,max,43,2081,0.001,8.32585048676,0.774299860001,0.596825420856,0.674076784018,0.773230661194,1.43876063824,0.706666648388,0.605714261532,0.652307670497,0.68863107702
relu,0.9,0.999,811949ae40a2ed4432ce96b3ddd0f7fcd9ab95bd,1.twitter.silver,200,data/results/20171217_021118_811949,0.5,data/glove.twitter.27B.200d.txt,1e-08,28,0.653968213517,10,False,"[1, 2]",0.001,max,53,2081,0.001,6.78063678741,0.815225422382,0.700317442417,0.753415289078,0.843593233506,1.27311503887,0.735714256763,0.588571429253,0.653968213517,0.727287480377
