activation,beta_1,beta_2,commit_hash,dataset,dimensions,dirname,dropout_rate,embeddings_path,epsilon,es__best_epoch,es__best_val_f1,filters,finetune,kernel_sizes,lr,pooling,total_epochs,vocab_size,weight_decay,loss,precision,recall,f1,aupr,val_loss,val_precision,val_recall,val_f1,val_aupr
relu,0.9,0.999,6d7882b959e89a17c98002edfa9a06f67d82a105,1.twitter.silver,200,data/results/20180201_173837_6d7882,0.5,data/glove.twitter.27B.200d.txt,1e-08,9,0.693251498636,50,False,"[1, 2, 3, 4]",0.001,max,34,3872,0.001,7.01083660126,0.809848487377,0.678730130196,0.738514694215,0.839169470921,1.00048696995,0.748344361782,0.64571428299,0.693251498636,0.770316771357
relu,0.9,0.999,6d7882b959e89a17c98002edfa9a06f67d82a105,1.twitter.silver,200,data/results/20180201_173927_6d7882,0.5,data/glove.twitter.27B.200d.txt,1e-08,38,0.707964649691,100,False,"[1, 2, 3]",0.001,max,63,3872,0.001,4.39464521408,0.913229048252,0.815238118172,0.861455883624,0.94024474931,1.03093194962,0.731707334518,0.685714304447,0.707964649691,0.728781197849
relu,0.9,0.999,6d7882b959e89a17c98002edfa9a06f67d82a105,1.twitter.silver,200,data/results/20180201_173735_6d7882,0.5,data/glove.twitter.27B.200d.txt,1e-08,7,0.715596314327,25,False,"[1, 2, 3, 4, 5]",0.001,max,32,3872,0.001,7.62041425705,0.806349217892,0.645079374313,0.716754830914,0.809755018649,1.03235352039,0.76973682642,0.668571412563,0.715596314327,0.767019708462
relu,0.9,0.999,6d7882b959e89a17c98002edfa9a06f67d82a105,1.twitter.silver,200,data/results/20180202_034117_6d7882,0.5,data/glove.twitter.27B.200d.txt,1e-08,9,0.722689070962,100,False,"[1, 2, 3, 4, 5]",0.001,max,34,3872,0.001,6.74907159805,0.835231602192,0.698412716389,0.760719242439,0.850265178627,1.02398300171,0.708791196346,0.737142860889,0.722689070962,0.793055585094
relu,0.9,0.999,6d7882b959e89a17c98002edfa9a06f67d82a105,1.twitter.silver,200,data/results/20180201_172859_6d7882,0.5,data/glove.twitter.27B.200d.txt,1e-08,26,0.670520205009,20,False,"[1, 2]",0.001,max,51,3872,0.001,7.20277166367,0.818535804749,0.667301595211,0.735222072549,0.831380529797,1.10227966309,0.678362548351,0.662857115269,0.670520205009,0.696465246041
relu,0.9,0.999,6d7882b959e89a17c98002edfa9a06f67d82a105,1.twitter.silver,200,data/results/20180201_173803_6d7882,0.5,data/glove.twitter.27B.200d.txt,1e-08,12,0.686216993218,75,False,"[1, 2, 3]",0.001,max,37,3872,0.001,6.70461177826,0.842146217823,0.687619030476,0.757077945733,0.857492378352,1.00533187389,0.704819262028,0.668571412563,0.686216993218,0.76183725074
relu,0.9,0.999,6d7882b959e89a17c98002edfa9a06f67d82a105,1.twitter.silver,200,data/results/20180201_173306_6d7882,0.5,data/glove.twitter.27B.200d.txt,1e-08,26,0.676217785807,50,False,"[1, 2]",0.001,max,51,3872,0.001,5.98926448822,0.853460967541,0.735873043537,0.790317095522,0.884242740398,1.10068297386,0.678160905838,0.674285709858,0.676217785807,0.693098660754
relu,0.9,0.999,6d7882b959e89a17c98002edfa9a06f67d82a105,1.twitter.silver,200,data/results/20180201_173505_6d7882,0.5,data/glove.twitter.27B.200d.txt,1e-08,6,0.67283950235,75,False,"[1, 2]",0.001,max,31,3872,0.001,8.28438091278,0.763786017895,0.589206337929,0.665233000694,0.774054142829,1.09239959717,0.731543600559,0.622857153416,0.67283950235,0.7284641574
relu,0.9,0.999,6d7882b959e89a17c98002edfa9a06f67d82a105,1.twitter.silver,200,data/results/20180201_172800_6d7882,0.5,data/glove.twitter.27B.200d.txt,1e-08,42,0.67836255678,5,False,"[1, 2, 3]",0.001,max,67,3872,0.001,6.67764425278,0.831039726734,0.690158724785,0.754075571143,0.848973434262,1.03665423393,0.694610774517,0.662857115269,0.67836255678,0.736250642024
relu,0.9,0.999,6d7882b959e89a17c98002edfa9a06f67d82a105,1.twitter.silver,200,data/results/20180202_033932_6d7882,0.5,data/glove.twitter.27B.200d.txt,1e-08,6,0.715542480501,50,False,"[1, 2, 3, 4, 5]",0.001,max,31,3872,0.001,7.50986671448,0.801113784313,0.639365077019,0.711158228492,0.814355330247,1.06516933441,0.734939754009,0.697142839432,0.715542480501,0.769652426092
relu,0.9,0.999,6d7882b959e89a17c98002edfa9a06f67d82a105,1.twitter.silver,200,data/results/20180201_173336_6d7882,0.5,data/glove.twitter.27B.200d.txt,1e-08,15,0.678466051693,25,False,"[1, 2, 3]",0.001,max,40,3872,0.001,7.06763935089,0.830188691616,0.670476198196,0.741833489156,0.836807084034,1.04778337479,0.701219499111,0.657142877579,0.678466051693,0.745301274869
relu,0.9,0.999,6d7882b959e89a17c98002edfa9a06f67d82a105,1.twitter.silver,200,data/results/20180201_173956_6d7882,0.5,data/glove.twitter.27B.200d.txt,1e-08,6,0.687898094755,75,False,"[1, 2, 3, 4]",0.001,max,31,3872,0.001,7.65784931183,0.804173350334,0.636190474033,0.710386355347,0.80574497018,1.02288842201,0.776978433132,0.617142856121,0.687898094755,0.767463125579
