spent,411
able,410
dumplings,408
giving,408
soon,406
eggs,405
seems,405
dining,403
group,401
oil,401
stop,401
warm,398
atmosphere,397
looks,397
piece,395
regular,394
unless,394
green,393
loved,393
saying,393
kept,392
sorry,391
anyway,388
cool,388
enjoy,388
mean,388
man,387
quick,385
thai,384
bring,382
throwing,382
deal,381
salty,380
bacon,379
four,379
hands,378
orders,378
evening,376
gone,376
honestly,376
poor,375
wings,375
received,374
cook,372
noticed,372
gets,371
awesome,370
ingredients,370
yesterday,369
hungry,368
knew,366
mind,366
expensive,364
rather,363
broth,362
opened,360
music,359
needed,359
smell,359
rating,358
tacos,357
yourself,357
clearly,356
enjoyed,353
name,353
under,353
appetizer,352
finish,352
sunday,352
slice,350
overpriced,347
taking,346
empty,344
quickly,344
selection,344
bartender,343
stuff,343
breakfast,342
expect,342
saturday,342
excited,341
house,340
weird,340
attitude,339
bites,339
plus,339
mediocre,337
8,336
flavors,335
sour,335
seem,334
toilet,334
greasy,331
totally,331
york,331
issue,326
juice,326
run,326
burgers,325
due,324
itself,323
friday,322
fun,322
nasty,322
pick,322
working,322
employees,321
stopped,321
grilled,319
decor,318
oysters,318
short,318
behind,317
cut,317
tastes,317
basically,316
bought,316
curry,316
barely,315
months,315
portions,315
between,314
buy,314
thank,313
together,312
others,311
slow,311
black,310
doing,310
pain,309
lamb,308
throw,308
girl,307
liked,307
milk,307
etc,306
average,305
portion,305
read,305
whatever,304
medium,303
mistake,303
shop,302
space,302
add,300
change,300
girlfriend,300
help,300
garlic,299
heard,299
near,297
date,296
frozen,296
seating,295
often,294
weekend,294
7,292
bbq,292
beware,291
offer,291
show,291
lady,290
appetizers,288
glass,288
hate,288
obviously,288
crab,287
needs,287
ready,287
main,286
thinking,286
tiny,286
+,285
waste,285
afterwards,284
card,284
avocado,283
middle,283
noodle,283
refund,283
seen,283
chance,281
foods,281
excellent,280
salt,278
type,278
fan,277
management,277
potato,277
weeks,277
woman,277
speak,276
charge,275
seamless,275
thanks,275
became,274
vegan,274
department,273
french,273
asking,272
sad,272
sometimes,271
hair,270
meals,270
prepared,270
severe,270
floor,269
risk,269
undercooked,268
five,267
low,267
paying,267
cause,266
mac,266
serving,266
12,263
despite,263
reservation,262
size,261
turned,261
highly,260
idea,260
spoiled,260
credit,259
offered,259
recently,257
tasting,257
across,255
mouth,255
non,255
butter,254
simple,254
choice,253
longer,253
soggy,252
attentive,251
hand,251
upset,251
based,249
remember,249
light,248
zero,248
cup,247
finished,247
crispy,245
issues,245
diner,244
sent,243
#,242
bottle,242
bed,241
hit,241
sandwiches,241
says,240
clear,239
job,239
early,238
except,238
hostess,238
mention,238
perhaps,238
shared,238
upon,238
burrito,237
walking,237
box,236
disappointing,236
hospital,236
returning,236
sashimi,236
duck,235
pie,235
closed,234
surprised,233
happen,232
italian,232
loud,232
smelled,231
chips,230
cost,230
head,230
realized,230
save,228
son,228
ones,227
strong,227
workers,227
texture,226
plates,225
share,225
brooklyn,224
leaving,224
soft,224
bag,223
god,223
manhattan,223
mexican,223
servers,223
spend,223
daughter,222
expected,222
negative,222
tonight,222
dollars,221
rare,221
world,221
corner,220
entrees,220
ny,220
talking,220
vegetarian,220
anymore,219
flavorful,219
lettuce,219
perfectly,219
potatoes,219
cute,218
note,218
violently,218
packed,217
sign,217
cash,216
chipotle,216
deli,216
knows,216
set,216
tofu,216
charged,215
craving,215
total,215
along,214
general,214
mine,214
ambiance,213
beans,213
possible,213
shame,213
straight,213
woke,213
writing,213
lots,212
m,212
shit,212
slices,212
changed,211
experienced,211
pho,211
taken,211
crowded,210
forgot,210
picked,210
waiters,210
entree,209
incredibly,208
option,208
stale,208
40,206
authentic,206
considering,206
placed,206
priced,206
seat,206
supposed,206
hell,205
indian,205
number,205
sugar,205
bagel,204
dog,204
matter,204
thick,204
filled,203
mixed,203
sister,203
situation,203
complain,202
cooking,202
taco,202
lost,201
plain,201
recommended,201
face,200
hear,200
heavy,200
nauseous,200
serious,200
talk,200
wonderful,200
drinking,199
forward,199
cafe,198
exactly,198
multiple,198
single,198
spinach,198
usual,198
wrap,198
24,197
added,197
mentioned,197
simply,197
crazy,196
mess,196
style,196
dough,195
including,195
mom,195
owners,195
town,195
delivered,194
lol,194
running,194
tomato,194
yeah,194
afternoon,193
bottom,193
following,193
boy,192
item,192
otherwise,192
takes,192
body,191
calamari,191
careful,191
japanese,191
kids,191
attention,190
fantastic,190
fat,190
fruit,190
month,190
s,190
vegetables,190
seeing,189
send,189
vomit,189
